# Output file from SSolar_GOA model
#   Input Data
#  Ext. Spectrum= Wehrli
# lat=41.66 lon=-4.7 sza=29.358 jday=152
#  p=1013.0 o3=300.0 h2o=1.5 alb=0.2
#  alpha=1.5 beta=0.05 Wa=0.98 g=0.75
# Wavelength Global Direct Diffuse
829 0.81492 0.86373 0.06212
830 0.81116 0.85990 0.06170
831 0.81066 0.85952 0.06153
832 0.81273 0.86186 0.06155
833 0.81614 0.86563 0.06168
834 0.81947 0.86932 0.06180
835 0.82185 0.87199 0.06185
836 0.82455 0.87501 0.06192
837 0.82871 0.87957 0.06210
838 0.83167 0.88287 0.06219
839 0.83247 0.88387 0.06212
840 0.83245 0.88400 0.06198
841 0.83317 0.88491 0.06191
842 0.83533 0.88735 0.06194
843 0.83805 0.89040 0.06201
844 0.83967 0.89227 0.06200
845 0.83738 0.88998 0.06170
846 0.83229 0.88472 0.06119
847 0.82874 0.88109 0.06081
848 0.82556 0.87785 0.06045
849 0.81966 0.87173 0.05989
850 0.81242 0.86417 0.05924
851 0.80125 0.85242 0.05830
852 0.78702 0.83742 0.05715
853 0.78462 0.83500 0.05686
854 0.78865 0.83943 0.05703
855 0.79047 0.84150 0.05704
856 0.79349 0.84484 0.05714
857 0.79824 0.85004 0.05737
858 0.80838 0.86098 0.05798
859 0.82419 0.87796 0.05899
860 0.83178 0.88618 0.05941
861 0.82939 0.88377 0.05912
862 0.82592 0.88021 0.05875
863 0.81769 0.87157 0.05805
864 0.80399 0.85710 0.05696
865 0.79540 0.84808 0.05624
866 0.79184 0.84441 0.05587
867 0.78915 0.84167 0.05557
868 0.78944 0.84211 0.05548
869 0.79089 0.84378 0.05547
870 0.79714 0.85058 0.05579
871 0.80906 0.86343 0.05652
872 0.81587 0.87083 0.05688
873 0.81763 0.87284 0.05689
874 0.81840 0.87380 0.05682
875 0.81643 0.87182 0.05657
876 0.81337 0.86868 0.05625
877 0.81077 0.86604 0.05596
878 0.80790 0.86310 0.05565
879 0.80407 0.85913 0.05528
880 0.79919 0.85404 0.05483
881 0.79523 0.84993 0.05445
882 0.79360 0.84831 0.05423
883 0.79248 0.84724 0.05405
884 0.79044 0.84518 0.05380
